Campaign,Ad Group,Keyword,Match Type,Final URL,Status
Search - Travel eSIM - AU,Travel eSIM - General,travel esim,Phrase,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,esim for travel,Phrase,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,international esim,Phrase,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,travel sim card,Phrase,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,buy esim online,Phrase,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,esim data plan,Phrase,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,international data plan,Phrase,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,avoid roaming fees,Phrase,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,roaming alternative,Phrase,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,travel data plan,Phrase,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Japan eSIM,japan esim,Phrase,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,japan travel sim,Phrase,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,tokyo esim,Phrase,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,japan data sim,Phrase,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,esim japan travel,Phrase,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,USA eSIM,usa esim,Phrase,https://www.trvel.co/en-au/usa/,Enabled
Search - Travel eSIM - AU,USA eSIM,america esim,Phrase,https://www.trvel.co/en-au/usa/,Enabled
Search - Travel eSIM - AU,USA eSIM,us travel sim,Phrase,https://www.trvel.co/en-au/usa/,Enabled
Search - Travel eSIM - AU,USA eSIM,usa data plan travel,Phrase,https://www.trvel.co/en-au/usa/,Enabled
Search - Travel eSIM - AU,Europe eSIM,europe esim,Phrase,https://www.trvel.co/en-au/europe/,Enabled
Search - Travel eSIM - AU,Europe eSIM,eu travel sim,Phrase,https://www.trvel.co/en-au/europe/,Enabled
Search - Travel eSIM - AU,Europe eSIM,european data plan,Phrase,https://www.trvel.co/en-au/europe/,Enabled
Search - Travel eSIM - AU,Europe eSIM,uk esim travel,Phrase,https://www.trvel.co/en-au/united-kingdom/,Enabled
Search - Travel eSIM - AU,Asia eSIM,asia esim,Phrase,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Asia eSIM,bali esim,Phrase,https://www.trvel.co/en-au/indonesia/,Enabled
Search - Travel eSIM - AU,Asia eSIM,indonesia esim,Phrase,https://www.trvel.co/en-au/indonesia/,Enabled
Search - Travel eSIM - AU,Asia eSIM,thailand esim,Phrase,https://www.trvel.co/en-au/thailand/,Enabled
Search - Travel eSIM - AU,Asia eSIM,singapore esim,Phrase,https://www.trvel.co/en-au/singapore/,Enabled
