Campaign,Campaign Status,Budget,Budget type,Bid Strategy Type,Ad Group,Ad Group Status,Keyword,Keyword Match Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Final URL,Path 1,Path 2,Status
Search - Travel eSIM - AU,Enabled,50,Daily,Maximize Conversions,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Travel eSIM - AU,,,,,Travel eSIM - General,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
Search - Travel eSIM - AU,,,,,Travel eSIM - General,,travel esim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Travel eSIM - General,,esim for travel,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Travel eSIM - General,,international esim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Travel eSIM - General,,travel sim card,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Travel eSIM - General,,buy esim online,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Travel eSIM - General,,esim data plan,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Travel eSIM - General,,international data plan,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Travel eSIM - General,,avoid roaming fees,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Travel eSIM - General,,roaming alternative,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Travel eSIM - General,,travel data plan,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Japan eSIM,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
Search - Travel eSIM - AU,,,,,Japan eSIM,,japan esim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Japan eSIM,,japan travel sim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Japan eSIM,,tokyo esim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Japan eSIM,,japan data sim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Japan eSIM,,esim japan travel,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,USA eSIM,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
Search - Travel eSIM - AU,,,,,USA eSIM,,usa esim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,USA eSIM,,america esim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,USA eSIM,,us travel sim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,USA eSIM,,usa data plan travel,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Europe eSIM,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
Search - Travel eSIM - AU,,,,,Europe eSIM,,europe esim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Europe eSIM,,eu travel sim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Europe eSIM,,european data plan,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Europe eSIM,,uk esim travel,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Asia eSIM,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
Search - Travel eSIM - AU,,,,,Asia eSIM,,asia esim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Asia eSIM,,bali esim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Asia eSIM,,indonesia esim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Asia eSIM,,thailand esim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
Search - Travel eSIM - AU,,,,,Asia eSIM,,singapore esim,Phrase,,,,,,,,,,,,,,,,,,,,,,Enabled
