Campaign,Ad group,Keyword,Criterion Type,Max CPC,Final URL,Status
Search - Travel eSIM - AU,Travel eSIM - General,travel esim,Exact,3.00,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,esim for travel,Exact,3.00,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,international esim,Exact,3.00,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,travel sim card,Exact,3.00,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,buy esim online,Exact,3.00,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,esim data plan,Exact,3.00,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,international data plan,Exact,3.00,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,avoid roaming fees,Exact,3.00,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,roaming alternative,Exact,3.00,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,travel data plan,Exact,3.00,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,buy travel esim,Exact,3.00,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Travel eSIM - General,esim for international travel,Exact,3.00,https://www.trvel.co/en-au/,Enabled
Search - Travel eSIM - AU,Japan eSIM,japan esim,Exact,5.00,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,esim japan,Exact,5.00,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,japan travel sim,Exact,5.00,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,tokyo esim,Exact,5.00,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,osaka esim,Exact,5.00,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,kyoto esim,Exact,5.00,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,japan data sim,Exact,5.00,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,japan sim card tourist,Exact,5.00,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,esim for japan travel,Exact,5.00,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,japan mobile data,Exact,5.00,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,buy japan esim,Exact,5.00,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,japan esim unlimited data,Exact,5.00,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,japan esim for australians,Exact,5.00,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,australia to japan esim,Exact,5.00,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Japan eSIM,telstra roaming alternative japan,Exact,5.00,https://www.trvel.co/en-au/japan/,Enabled
Search - Travel eSIM - AU,Thailand eSIM,thailand esim,Exact,4.00,https://www.trvel.co/en-au/thailand/,Enabled
Search - Travel eSIM - AU,Thailand eSIM,esim thailand,Exact,4.00,https://www.trvel.co/en-au/thailand/,Enabled
Search - Travel eSIM - AU,Thailand eSIM,bangkok esim,Exact,4.00,https://www.trvel.co/en-au/thailand/,Enabled
Search - Travel eSIM - AU,Thailand eSIM,phuket esim,Exact,4.00,https://www.trvel.co/en-au/thailand/,Enabled
Search - Travel eSIM - AU,Thailand eSIM,chiang mai esim,Exact,4.00,https://www.trvel.co/en-au/thailand/,Enabled
Search - Travel eSIM - AU,Thailand eSIM,thailand travel sim,Exact,4.00,https://www.trvel.co/en-au/thailand/,Enabled
Search - Travel eSIM - AU,Thailand eSIM,thailand data sim,Exact,4.00,https://www.trvel.co/en-au/thailand/,Enabled
Search - Travel eSIM - AU,Thailand eSIM,thailand sim card tourist,Exact,4.00,https://www.trvel.co/en-au/thailand/,Enabled
Search - Travel eSIM - AU,Thailand eSIM,esim for thailand,Exact,4.00,https://www.trvel.co/en-au/thailand/,Enabled
Search - Travel eSIM - AU,Thailand eSIM,thai mobile data,Exact,4.00,https://www.trvel.co/en-au/thailand/,Enabled
Search - Travel eSIM - AU,Thailand eSIM,buy thailand esim,Exact,4.00,https://www.trvel.co/en-au/thailand/,Enabled
Search - Travel eSIM - AU,Thailand eSIM,thailand esim unlimited data,Exact,4.00,https://www.trvel.co/en-au/thailand/,Enabled
Search - Travel eSIM - AU,Thailand eSIM,australia to thailand esim,Exact,4.00,https://www.trvel.co/en-au/thailand/,Enabled
